Гагара белоклювая 	Gavia adamsii 	White-billed Diver
Погоныш-крошка 	Porzana pusilla 	Baillon's Crake
Пастушок 	Rallus aquaticus 	Water Rail
Трехперстка пятнистая 	Turnix tanki 	Hemipode
Конюга большая 	Aethia cristatella 	Crested Auklet
Конюга-крошка 	Aethia pusilla 	Least Auklet
Конюга малая 	Aethia pygmaea 	Whiskered Auklet
Люрик 	Alle alle 	Little Auk
Гагарка 	Alca torda 	Razorbill
Пыжик короткоклювый 	Branchyramphus brevirostris 	Kittlitz’s Murrelet
Пыжик длинноклювый 	Branchyramphus marmoratus 	Marbled Murrelet
Чистик очковый 	Cepphus carbo 	Spectacled Guillemot
Чистик тихоокеанский 	Cepphus columba 	Pigeon Guillemot
Чистик 	Cepphus grylle 	Black Guillemot
Тупик-носорог 	Cerorhinca monocerata 	Horn-billed Puffin
Белобрюшка 	Cyclorrhynchus psittacula 	Parakeet Auklet
Тупик 	Fratercula arctica 	Puffin
Ипатка 	Fratercula corniculata 	Horned Puffin
Топорик 	Lunda cirrhata 	Tufted Puffin
Пыжик алеутский 	Ptychoramphus aleuticus  	Cassin's Auklet
Старик 	Synthliboramphus antiquus 	Ancient Murrelet
Кайра тонкоклювая 	Uria aalge 	Guillemot
Кайра толстоклювая 	Uria lomvia 	Brunnich’s Guillemot
Авдотка 	Burhinus oedicnemus 	Stone Curlew
Камнешарка 	Arenaria interpres 	Turnstone
Зуек морской 	Charadrius alexandrinus 	Kentish Plover
Зуек каспийский 	Charadrius asiaticus 	Caspian Plover
Зуёк малый 	Charadrius dubius 	Little Ringed Plover
Галстучник 	Charadrius hiaticula 	Ringed Plover
Зуек толстоклювый 	Charadrius leschenaultii 	Greater Sand Plover
Зуек монгольский 	Charadrius mongolus 	Lesser Sand Plover
Зуек перепончатопалый 	Charadrius semipalmatus 	Semipalmated Plover
Зуек крикливый 	Charadrius vociferus 	Killdeer
Кречетка 	Chettusia gregaria 	Sociable Plover
Пигалица белохвостая 	Chettusia leucura, Vanellochettusia leucura 	White-tailed Plover
Хрустан 	Eudromias morinellus 	Dotterel
Чибис серый 	Microsarcops cinereus 	Grey-headed Lapwing
Ржанка золотистая 	Pluvialis apricaria 	Golden Plover
Ржанка американская 	Pluvialis dominica 	American Golden Plover
Ржанка бурокрылая 	Pluvialis fulva 	Pacific Golden Plover
Тулес 	Pluvialis squatarola 	Grey Plover
Чибис 	Vanellus vanellus 	Lapwing
Тиркушка степная 	Glareola nordmanni 	Black-winged Pratincole
Тиркушка луговая 	Glareola pratincola 	Collared Pratincole
Кулик-сорока 	Haematopus ostralegus 	Eurasian Oystercatcher
Крачка белощекая 	Chlidonias hybrida 	Whiskered Tern
Крачка белокрылая 	Chlidonias leucopterus, leucoptera 	White-winged Tern
Крачка черная 	Chlidonias niger, nigra 	Black Tern
Крачка чайконосая 	Gelochelidon nilotica 	Gull-billed Tern
Чеграва 	Hydroprogne caspia, Sterna caspia 	Caspian Tern
Чайка серебристая 	Larus argentatus 	European Herring Gull
Чайка армянская 	Larus armenicus, Larus cachinnans armenicus 	Armenian Gull
Чайка буроголовая 	Larus brunnicephalus 	Brown-headed Gull
Хохотунья 	Larus cachinnans 	Yellow-legged Gull
Чайка сизая 	Larus canus 	Common Gull
Чайка чернохвостая 	Larus crassirostris 	Black-tailed Gull
Клуша 	Larus fuscus 	Lesser Black-backed Gull
Голубок морской 	Larus genei 	Slender-billed Gull
Чайка серокрылая 	Larus glaucescens 	Glaucous-winged Gull
Клуша восточная 	Larus heuglini 	Oriental Black-backed Gull
Бургомистр 	Larus hyperboreus 	Glaucous Gull
Хохотун черноголовый 	Larus ichthyaetus 	Great Black-headed Gull
Чайка морская 	Larus marinus 	Great Black-backed Gull
Чайка черноголовая 	Larus melanocephalus 	Mediterranean Gull
Чайка малая 	Larus minutus 	Little Gull
Чайка реликтовая 	Larus relictus 	Relict Gull
Чайка озерная 	Larus ridibundus 	Black-headed
Чайка тихоокеанская 	Larus schistisagus 	Slaty-backed Gull
Чайка белая 	Pagophila eburnea 	Ivory Gull
Чайка розовая 	Rhodostethia rosea 	Ross's Gull
Говорушка красноногая 	Rissa brevirostris 	Red-legged Kittiwake
Моевка 	Rissa tridactyla 	Kittiwake
Крачка малая 	Sterna albifrons 	Little Tern
Крачка алеутская 	Sterna aleutica 	Aleutian Terns
Крачка речная 	Sterna hirundo 	Common Tern
Крачка полярная 	Sterna paradisaea 	Arctic Tern
Крачка пестроносая 	Thalasseus sandvicensis, Sterna sandvicensis 	Sandwich Tern
Чайка вилохвостая 	Xema sabini 	Sabine's Gull
Ходулочник 	Himantopus himantopus 	Black-winged Stilt
Шилоклювка 	Recurvirostra avosetta, Recurvirostra avocetta 	Avocet
Перевозчик 	Actitis hypoleucos, Tringa hypoleucos 	Common Sandpiper
Песочник острохвостый 	Calidris acuminata 	Sharp-tailed Sandpiper
Песчанка 	Calidris alba 	Sanderling
Чернозобик 	Calidris alpina 	Dunlin
Песочник Бэрдов 	Calidris bairdii 	Baird’s Sandpiper
Песочник исландский 	Calidris canutus 	Knot
Краснозобик 	Calidris ferruginea 	Curlew Sandpiper
Песочник морской 	Calidris maritima 	Purple Sandpiper
Песочник перепончатопалый 	Calidris mauri 	Western Sandpiper
Дутыш 	Calidris melanotos 	Pectoral Sandpiper
Кулик-воробей 	Calidris minuta 	Little Stint
Песочник берингийский 	Calidris ptilocnemis 	Rock Sandpiper
Песочник малый 	Calidris pusillus 	Semipalmated Sandpiper
Песочник-красношейка 	Calidris ruficollis 	Red-necked Stint
Песочник длиннопалый 	Calidris subminuta 	Long-toed Stint
Песочник белохвостый 	Calidris temminckii 	Temminck’s Stint
Песочник большой 	Calidris tenuirostris 	Great Knot
Лопатень 	Eurynorhynchus pygmeus 	Spoon-billed Sandpiper
Бекас 	Gallinago gallinago, Capella gallinago 	Snipe
Бекас японский 	Gallinago hardwickii 	Latham's Snipe
Дупель 	Gallinago media, Capella media 	Great Snipe
Дупель лесной 	Gallinago megala 	Swinhoe’s Snipe
Дупель горный 	Gallinago solitaria 	Solitary Snipe
Бекас азиатский 	Gallinago stenura 	Pintail Snipe
Улит сибирский пепельный 	Heteroscelus brevipes 	Grey-tailed Tattler
Грязовик 	Limicola falcinellus 	Broad-billed Sandpiper
Веретенник американский бекасовидный 	Limnodromus scolopaceus 	Short-billed Dowitcher
Веретенник азиатский бекасовидный 	Limnodromus semipalmatus 	Asian Dowitcher
Веретенник малый 	Limosa lapponica 	Bar-tailed Godwit
Веретенник большой 	Limosa limosa 	Black-tailed Godwit
Гаршнеп 	Lymnocryptes minimus, minima 	Jack Snipe
Кроншнеп большой 	Numenius arquata 	Curlew
Кроншнеп-малютка 	Numenius minutus 	Little Whimbrel
Кроншнеп средний 	Numenius phaeopus 	Whimbrel
Плавунчик плосконосый 	Phalaropus fulicarius 	Grey Phalarope
Плавунчик круглоносый 	Phalaropus lobatus 	Red-necked Phalarope
Турухтан 	Phylomachus pugnax 	Ruff
Вальдшнеп 	Scolopax rusticola 	Woodcock
Щеголь 	Tringa erythropus 	Spotted Redshank
Фифи 	Tringa glareola 	Wood Sandpiper
Улит охотский 	Tringa guttifer 	Spotted Greenshank
Улит большой 	Tringa nebularia 	Greenshank
Черныш 	Tringa ochropus 	Green Sandpiper
Поручейник 	Tringa stagnatilis 	Marsh Sandpiper
Травник 	Tringa totanus 	Redshank
Желтозобик 	Tryngites subruficollis 	Buff-breasted Sandpiper
Мородунка 	Xenus cinereus, Terekia cinerea 	Terek Sandpiper
Поморник длиннохвостый 	Stercorarius longicaudus 	Long-tailed Skua
Поморник короткохвостый 	Stercorarius parasiticus 	Arctic Skua
Поморник средний 	Stercorarius pomarinus 	Pomarine Skua
Поморник большой 	Stercorarius skua, Catharacta skua 	Great Skua
Голубь бурый 	Columba eversmanni 	Yellow-eyed Pigeon
Голубь сизый 	Columba livia 	Rock Dove
Клинтух 	Columba oenas 	Stock Dove
Вяхирь 	Columba palumbus 	Woodpigeon
Голубь скалистый 	Columba rupestris 	Blue Hill Pigeon
Горлица кольчатая 	Streptopelia decaocto 	Collared Dove
Горлица большая 	Streptopelia orientlis 	Rufous Turtle Dove
Горлица малая 	Streptopelia senegalensis 	Laughing Dove
Горлица обыкновенная 	Streptopelia turtur 	Turtle Dove
Рябок белобрюхий 	Pterocles alchata 	Pin-tailed Sandgrouse
Рябок чернобрюхий 	Pterocles orientalis 	Black-bellied Sandgrouse
Саджа 	Syrrhaptes paradoxus 	Pallas' Sandgrouse
Кукушка обыкновенная 	Cuculus canorus 	Common Cuckoo
Кукушка малая 	Cuculus poliocephalus 	Little Cuckoo
Кукушка глухая 	Cuculus saturatus, Cuculus optatus 	Oriental Cuckoo
Сыч мохноногий 	Aegolius funereus 	Tengmalm's Owl
Сова болотная 	Asio flammeus 	Short-eared Owl
Сова ушастая 	Asio otus 	Long-eared Owl
Сыч домовый 	Athene noctua 	Little Owl
Филин 	Bubo bubo 	Eagle Owl
Сыч воробьиный 	Glaucidium passerinum 	Pygmy Owl
Сова белая 	Nyctea scandiaca 	Snowy Owl
Совка буланая 	Otus brucei 	Pallid Scops-owl
Сплюшка 	Otus scops 	Scops Owl
Неясыть серая 	Strix aluco 	Tawny Owl
Неясыть бородатая 	Strix nebulosa 	Great Grey Owl
Сипуха 	Tyto alba 	Barn Owl
Козодой буланый 	Caprimulgus aegyptius 	Egyptian Nightjar
Козодой обыкновенный 	Caprimulgus europaeus 	European Nightjar
Козодой большой 	Caprimulgus indicus 	Jungle Nightjar
Стриж черный 	Apus apus 	Common Swift
Стриж белопоясный 	Apus pacificus 	Pacific Swift
Стриж иглохвостый 	Hirundapus caudacutus 	Needle-tailed Swift
Зимородок обыкновенный 	Alcedo atthis 	Kingfisher
Сизоворонка 	Coracias garrulus 	Roller
Щурка золотистая 	Merops apiaster 	European Bee-eater
Щурка зеленая 	Merops superciliosus, Merops persicus 	Blue-cheeked Bee-eater
Удод 	Upupa epops 	Hoopoe
Дятел карликовый 	Dendrocopos kizuki 	Japanese Pygmy Woodpecker
Дятел белокрылый 	Dendrocopos leucopterus 	White-winged Woodpecker
Дятел белоспинный 	Dendrocopos leucotos 	White-backed Woodpecker
Дятел большой пестрый 	Dendrocopos major 	Great spotted woodpecker
Дятел средний пестрый 	Dendrocopos medius 	Middle Spotted Woodpecker
Дятел малый пестрый 	Dendrocopos minor 	Lesser Spotted Woodpecker
Дятел сирийский 	Dendrocopos syriacus 	Syrian Woodpecker
Дятел черный 	Dryocopus martius 	Black Woodpecker
Вертишейка 	Jynx torquilla 	Wryneck
Дятел трехпалый 	Picoides tridactylus  	Three-toed Woodpecker
Дятел седой 	Picus canus 	Grey-headed Woodpecker
Дятел зеленый 	Picus viridis 	Green Woodpecker
Синица длиннохвостая 	Aegithalos caudatus 	Long-tailed Tit
Синичка расписная 	Leptopoecile sophiae 	White-browed Tit-warbler
Жаворонок полевой 	Alauda arvensis 	Skylark
Жаворонок японский 	Alauda japonica 	Japanese Lark
Жаворонок малый 	Calandrella brachydactyla, Calandrella cinerea 	Greater Short-toed Lark
Жаворонок солончаковый 	Calandrella cheleensis 	Eastern Short-toed Lark
Жаворонок серый 	Calandrella rufescens 	Lesser Short-toed Lark
Жаворонок рогатый 	Eremophila alpestris 	Shore Lark
Жаворонок хохлатый 	Galerida cristata 	Crested Lark
Жаворонок лесной 	Lullula arborea 	Wood Lark
Жаворонок двупятнистый 	Melanocorypha bimaculata 	Bimaculated Lark
Жаворонок степной 	Melanocorypha calandra 	Calandra Lark
Жаворонок белокрылый 	Melanocorypha leucoptera 	White-winged Lark
Жаворонок монгольский 	Melanocorypha mongolica 	Mongolian Lark
Жаворонок черный 	Melanocorypha yeltoniensis 	Black Lark
Свиристель 	Bombycilla garrulus 	Waxwing
Личинкоед 	Pericrocotus divaricatus 	Ashy Minivet
Пищуха короткопалая 	Certhia brachydactyla 	Short-toed Treecreeper
Пищуха обыкновенная 	Certhia familiaris 	Tree Creeper
Пищуха гималайская 	Certhia himalayana 	Bar-tailed Tree-creeper
Оляпка 	Cinclus cinclus 	Dipper
Ворон 	Corvus corax 	Raven
Ворона серая 	Corvus cornix 	Hooded Crow
Галка даурская 	Corvus dauuricus 	Daurian Jackdaw
Грач 	Corvus frugilegus 	Rook
Ворона большеклювая 	Corvus macrorhynchos 	Jungle Crow
Галка 	Corvus monedula 	Jackdaw
Ворона восточная черная 	Corvus orientalis, Corvus corone orientalis 	Carrion Crow, eastern race
Ворон пустынный 	Corvus ruficollis 	Brown-necked Raven
Сорока голубая 	Cyanopica cyanus 	Azure-winged Magpie
Сойка 	Garrulus glandarius 	Jay
Кедровка 	Nucifraga caryocatactes 	Nutcracker
Кукша 	Perisoreus infaustus 	Siberian Jay
Сорока 	Pica pica 	Magpie
Сойка саксаульная 	Podoces panderi 	Pander's Ground Jay
Клушица 	Pyrrhocorax pyrrhocorax 	Chough
Коноплянка 	Acanthis cannabina, Carduelis cannabina 	Linnet
Чечетка 	Acanthis flammea 	Redpoll
Чечетка горная 	Acanthis flavirostris 	Twite
Чечетка пепельная 	Acanthis hornemanni, Carduelis hornemanni 	Arctic Redpoll
Снегирь пустынный 	Bucanetes githagineus 	Trumpeter Finch
Снегирь монгольский 	Bucanetes mongolicus 	Mongolian Trumpeter Finch
Подорожник 	Calcarius lapponicus 	Lapland Bunting
Щегол седоголовый 	Carduelis caniceps 	Himalayan Goldfinch
Щегол 	Carduelis carduelis 	Goldfinch
Зеленушка обыкновенная 	Carduelis chloris, Chloris chloris 	European Greenfinch
Чечевица обыкновенная 	Carpodacus erythrinus, Erythrina erythrina 	Common Rosefinch
Чечевица розовая 	Carpodacus grandis 	Red-Mantled Rosefinch
Чечевица сибирская 	Carpodacus roseus 	Pallas's Rosefinch
Зеленушка китайская 	Chloris sinica 	Oriental Greenfinch
Дубонос 	Coccothraustes coccothraustes 	Hawfinch
Дубровник 	Emberiza aureola, Ocyris aureolus 	Yellow-breasted Bunting
Овсянка желчная 	Emberiza bruniceps, Granativora bruniceps 	Red-headed Bunting
Овсянка скальная 	Emberiza buchanani 	Grey-necked Bunting
Просянка 	Emberiza calandra 	Corn Bunting
Овсянка желтобровая 	Emberiza chrysophrys, Ocyris chrysophrys 	Yellow-browed Bunting
Овсянка горная 	Emberiza cia 	Rock Bunting
Овсянка красноухая 	Emberiza cioides 	Siberian Meadow Bunting
Овсянка огородная 	Emberiza cirlus 	Cirl Bunting
Овсянка обыкновенная 	Emberiza citrinella 	Yellowhammer
Овсянка желтогорлая 	Emberiza elegans, Cristemberiza elegans 	Yellow-throated Bunting
Овсянка ошейниковая 	Emberiza fucata 	Grey-hooded Bunting
Овсянка садовая 	Emberiza hortulana 	Ortolan Bunting
Овсянка Янковского 	Emberiza jankowskii 	Jankowski’s Bunting
Овсянка белошапочная 	Emberiza leucocephala 	Pine Bunting
Овсянка монгольская 	Emberiza lydiae, Schoeniclus pallasi lydiae 	Pallas's Reed Bunting
Овсянка черноголовая 	Emberiza melanocephala, Granativora melanocephala 	Black-headed Bunting
Овсянка полярная 	Emberiza pallasi, Schoeniclus pallasi 	Pallas's Reed Bunting
Овсянка-крошка 	Emberiza pusilla 	Little Bunting
Овсянка-ремез 	Emberiza rustica 	Rustic Bunting
Овсянка рыжая 	Emberiza rutila, Ocyris rutilus 	Chestnut Bunting
Овсянка камышовая 	Emberiza schoeniclus, Schoeniclus schoeniclus 	Reed Bunting
Овсянка седоголовая 	Emberiza spodocephala 	Black-faced Bunting
Овсянка Стюарта 	Emberiza stewarti 	Chestnut-breasted Bunting
Овсянка таежная 	Emberiza tristrami, Ocyris tristrami 	Tristram's Bunting
Овсянка сизая 	Emberiza variabilis, Ocyris variabilis 	Grey Bunting
Овсянка рыжешейная 	Emberiza yessoensis, Schoeniclus yessoensis 	Japanese Reed Bunting
Дубонос малый черноголовый 	Eophona migratoria 	Chinese Grosbeak
Дубонос большой черноголовый 	Eophona personata 	Japanese Grosbeak
Зяблик 	Fringilla coelebs 	Chaffinch
Юрок 	Fringilla montifringilla 	Brambling
Вьюрок сибирский 	Leucosticte arctoa 	Rosy Finch
Вьюрок гималайский 	Leucosticte nemoricola 	Hodgson's Rosy Finch
Клест-еловик 	Loxia curvirostra 	Crossbill
Клест белокрылый 	Loxia leucoptera 	Two-barred Crossbill
Клест-сосновик 	Loxia pytyopsittacus 	Parrot Crossbill
Дубонос арчовый 	Mycerobas carnipes 	White-winged Grosbeak
Овсянка саванная 	Passerculus sandwichensis, Ammodramus sandwichensis 	Savannah Sparrow
Щур 	Pinicola enucleator 	Pine Grosbeak
Пуночка 	Plectrophenax nivalis 	Snow Bunting
Снегирь уссурийский 	Pyrrhula griseiventris 	Ussuri Bullfinch
Снегирь 	Pyrrhula pyrrhula 	Bullfinch
Вьюрок буланый 	Rhodospiza obsoleta 	Desert Finch
Вьюрок европейский 	Serinus serinus 	Serin
Чиж 	Spinus spinus 	Siskin
Урагус 	Uragus sibiricus 	Long-tailed Rosefinch
Ласточка городская 	Delichon urbica 	House Martin
Ласточка рыжепоясничная 	Hirundo daurica, Cecropis daurica 	Red-rumped Swallow
Ласточка деревенская 	Hirundo rustica 	Barn Swallow
